question,answer,category,table_id,answer_format
How many years after turning pro did Jack Nicklaus win his first Masters Tournament?,2,golf,66,<num_years>
How many years after turning pro did Roger Federer win a silver Olympic medal?,14,tennis,512,<num_years>
What was the last year that Carolijn Brouwer won a gold medal in the World Championships?,1998,sailor,668,yyyy
How many years after turning pro did Roy Emerson retire?,15,tennis,50,<num_years>
How many years after Walter von Brauchitsch became a leader was Franklin D. Roosevelt also a leader?,5,military conflict,1012,<num_years>
How many years after winning a bronze medal at the World Junior Championships did Gorshkova achieve a personal best score in compulsory dance?,2,figure skating,743,<num_years>
How many years after winning a bronze medal in the Isle of Wight 200 m medley did Atkinson win a gold medal at the 2018 Glasgow 4×100 m mixed medley?,7,swimming,669,<num_years>
How many years after winning a doubles tournament did Roy Emerson win a singles tournament?,2,tennis,50,<num_years>
"If Mars Express begins its orbit at 10:00 a.m., what time will it return to the same point?",5:30 p.m.,space probe,452,H:MM %p
How many years after winning a gold medal at the Olympic Games did Braxton play for the Cleveland Rockers?,13,ice hockey,577,<num_years>
How many years after winning his first competition did Leo Diegel pass away?,31,golf,68,<num_years>
"If Percy Faith had died three months later in 1976, how old would he have been?",68,musician,472,<num_years>
How many years after winning his first NCAA D-1 Championship did Frank Urso compete in the World Lacrosse Championship?,1,lacrosse,656,<num_years>
What was the last year that Derrick Summers made the Second Team All-Arena?,2018,nfl,551,yyyy
How many years after winning his first Olympic medal did Matt Biondi win a medal in his last Olympic Games?,8,swimming,115,<num_years>
How many years after winning the gold medal at the FIBA U19 World Championship did Worthy enter the draft?,3,nba,81,<num_years>
How many years after winning the Olympic gold medal did Roger Federer get an Olympic silver medal?,4,tennis,512,<num_years>
How many years after winning the USILA Player of the Year did Dylan Molloy become a pro?,1,lacrosse,655,<num_years>
How many years after Worthy's NBA career began did he win his first NBA championship?,3,nba,81,<num_years>
How many years after Zumla wrote his thesis did he win the Weber-Parkes Trust Medal?,12,scientist,364,<num_years>
"How many years ago did Alphonse Gallegos die in Sacramento, California, United States?",31,christian leader,829,<num_years>
How many years ago did Ambrose Rayappan die?,23,christian leader,817,<num_years>
In how many months will Gorshkova turn 34?,2,figure skating,743,<num_months>
How many years ago did Arnold Schwarzenegger serve in the military?,57,body builder,866,<num_years>
How many years ago did Art Carney die?,19,actor,2,<num_years>
How many years ago did Aude Gemma Billard receive the Fellowship from the Medicus Foundation?,23,scientist,321,<num_years>
How many years ago did Australia win the T20I World Cup?,1,cricket team,1164,<num_years>
How many years ago did Brandon Miller's career start?,21,lacrosse,644,<num_years>
How many years ago did Casey Mears last participate in the IndyCar Series?,21,martial artist,264,<num_years>
How many years ago did Casey Mears receive the award of Coca-Cola 600 winner?,15,martial artist,264,<num_years>
How many years ago did Cody Ware win the Lamborghini Super Trofeo North America Rookie of the Year 2014?,8,racing,265,<num_years>
How many years ago did Derrell Palmer die?,13,nfl,546,<num_years>
How many years ago did Dick King-Smith win the Guardian Prize?,38,book,929,<num_years>
How many months after the Plan of Iguala did Mexican independence occur?,7,empire,433,<num_months>
How many years ago did England acquire Test status?,145,cricket team,1172,<num_years>
How many months after the Plan of Iguala was Mexican independence?,7,empire,433,<num_months>
How many years ago did Faith die?,46,musician,472,<num_years>
How many years ago did Hebar Pazardzhik debut his first match?,33,wrestling,13,<num_years>
How many years ago did Hogan debut his wrestling career?,45,wrestling,339,<num_years>
How many years ago did Leo Diegel die?,71,golf,68,<num_years>
How many days after being laid down was INS Trishul launched?,427,navy vessel,1113,<num_days>
How many years ago did Mars Express perform orbital insertion?,19,space probe,452,<num_years>
How many years ago did Miloš Obrenović I die?,162,emperor,765,<num_years>
How many minutes elapsed between the insertion of Mars Express into orbit and the landing of Beagle 2?,6,space probe,452,<num_minutes>
How many days after Epstein was apprehended was the mugshot photo taken?,3,person,340,<num_days>
How many years ago did Paul Gauguin die?,119,painter,349,<num_years>
How many months are left in the Mars Express mission duration?,7,space probe,452,<num_months>
"How many days after its first flight on June 8, 1959, was the X-15 introduced?",101,space program,1132,<num_days>
In what century was Valen Kapell founded?,13,church,715,
In what decade was the capacity of the Carrier Dome the greatest?,1980s,stadium,621,
How many days after Jeffrey Edward Epstein's apprehension was his final mugshot taken?,3,person,340,<num_days>
How many days after launch did Chandrayaan-2 land on the moon?,46,space probe,457,<num_days>
How many years ago did Robby Gordon first win the Stadium Super Trucks?,9,car driver,518,<num_years>
"In what month and year were the artists in the studio for ""2 of Amerikaz Most Wanted""?",October 1995,music,1066,%B %Y
How many years ago did Ryan Hunter-Reay win the WorldCom Rising Star Award?,20,car driver,521,<num_years>
How many months after the launch date was the moon lander's landing date?,2,space probe,457,<num_months>
What was the last year that Jack Nicklaus won a U.S. Open?,1980,golf,66,yyyy
How many days after launch was Chandrayaan-2's orbital insertion held?,29,space probe,457,<num_days>
On what date did Black Dog Halt first become known by that name?,"June 8, 1953",railway,464,"%B %d, %Y"
On what date did Black Dog Halt fall into disuse?,"September 20, 1965",railway,464,"%B %d, %Y"
How many years ago did Shi Yuqi achieve his highest rank?,5,badminton,166,<num_years>
How many years ago did Stephen Hawking die?,4,nobel,352,<num_years>
On what date did Black Dog Halt first operate?,"November 3, 1863",railway,464,"%B %d, %Y"
On what date was the second opening of Cheltenham Spa station?,"July 7, 2019",railway,465,"%B %d, %Y"
What date was the first opening of Cheltenham Spa station?,"March 30, 2008",railway,465,"%B %d, %Y"
How many years ago did Stephen Hawking release the Properties of Expanding Universes?,56,nobel,352,<num_years>
How many years ago did Steve Jobs die?,11,person,353,<num_years>
How many years ago did Steve Jobs present the iPhone 4?,12,person,353,<num_years>
How many years ago did terrorism begin in Egypt?,9,current war,1006,<num_years>
How many years ago did the 12th Annual Honda Civic Tour start?,9,concert,1034,<num_years>
What was the last year that James Worthy played in an NBA All Stars game?,1992,nba,81,yyyy
How many years ago did the Salvadoran Civil War end?,30,civil war,1022,<num_years>
How many years ago did the Western Sahara War end?,31,military conflict,1014,<num_years>
What was the last year that Matt Biondi won a medal in the Olympic Games?,1992,swimming,115,yyyy
How many years ago did Timo Glock last race in his Formula One World Championship career?,10,car driver,523,<num_years>
What year are the most recent statistics in this table from?,2021,economy,235,yyyy
"What year did ""Rudolph the Red-Nosed Reindeer"" debut as a television special?",1964,character,1095,yyyy
How many years ago did Wang Xiaoli achieve her highest ranking?,8,badminton,174,<num_years>
In what year range did Novak Djokovic first win 3 consecutive Australian Open tournaments?,2011-2013,tennis,509,
Italian Eritrea happened how many years before the Ethiopian Empire monarchy was abolished?,85,empire,22,<num_years>
What year did Abdul Jeelani start attending college?,1972,ice hockey,561,yyyy
"How many years ago was ""Catch 22"" published?",61,book,702,<num_years>
How many years ago was All Hallows Twickenham designated as Grade I?,70,church,719,<num_years>
How many years ago was Arkham Horror: The Card Game published?,6,game,1161,<num_years>
How many years ago was AT&T Inc. founded?,39,company,597,<num_years>
How many years ago was Australia's first test in Cricket?,145,cricket team,1164,<num_years>
How many years ago was B. J. Neufeld top ranked in CTRS?,8,curling,281,<num_years>
How many years ago was Brazil declared a republic?,133,country,424,<num_years>
How many years ago was Catch-22 published?,61,book,702,<num_years>
How many years ago was Chandrayaan-2 launched?,3,space probe,457,<num_years>
What year did AC/DC debut?,1973,musician,468,yyyy
What year did Access Hollywood debut?,1996,show,1085,yyyy
How many years ago was Cheltenham Spa station opened in Malvern Road?,114,railway,465,<num_years>
How many years ago was Dylan Molloy the USILA Player of the Year?,6,lacrosse,655,<num_years>
What year did Access Hollywood premiere?,1996,show,1085,yyyy
What year did Access Hollywood switch to HDTV?,2010,show,1085,yyyy
How many years ago was Frank Urso awarded Division I Player of the Year?,47,lacrosse,656,<num_years>
How many years ago was Jacobs University Bremen established?,21,university,624,<num_years>
How many years ago was Nate Archibald inducted into the Basketball Hall of Fame?,16,nba,83,<num_years>
How many years ago was Scottie Pippen awarded NBA steals leader?,27,nba,89,<num_years>
How many years ago was the B-24 Skua's first flight?,85,aircraft,226,<num_years>
How many years ago was the CATAN 3rd edition released?,25,board game,1147,<num_years>
How many years ago was the Coordination Center for Ethnic Germans founded?,85,agency,1139,<num_years>
How many years ago was the current constitution established in Brazil?,34,country,424,<num_years>
How many years ago was the FAA Fairey Firefly retired from the Royal Navy?,66,aircraft,1128,<num_years>
How many years ago was the first edition of Arkham Horror: The Card Game released?,6,game,1161,<num_years>
How many years ago was the first edition of Heroes Unlimited published?,38,game,1151,<num_years>
On what month and day does Japan's fiscal year begin?,April 1,economy,248,%B %d
What year did Albert A. Michelson marry Edna Stanton?,1899,nobel,370,yyyy
What year did Alessandro Riguccini's martial arts career start?,1999,martial artist,840,yyyy
How many years ago was the INS Vikramaditya decommissioned in Soviet Union Russia?,26,navy vessel,1109,<num_years>
How many years ago was the New York Stock Exchange founded?,229,monument,626,<num_years>
How many years ago was the Supreme Administrative Court established?,146,court,254,<num_years>
How many years ago was the Supreme Court of Argentina established?,159,court,253,<num_years>
How many years ago was the Supreme Court of Israel established?,74,court,257,<num_years>
How many years ago was the University of Cambridge founded?,813,university,606,<num_years>
How many years ago was the V/Line Corporation formed?,39,agency,1141,<num_years>
How many years ago was this movie released?,20,movie,1077,<num_years>
How many years ago was Tony Stewart awarded the IROC championship?,16,racing,272,<num_years>
How many years ago was Valderøy Church consecrated?,61,church,714,<num_years>
How many years ago was Yale University named Collegiate School?,304,university,611,<num_years>
What year did Alexandra Boltasseva receive the MIT Technology Review Top Young Innovator award?,2011,scientist,315,yyyy
How many years apart were Australia's two biggest defeats?,20,national football team,1166,<num_years>
What year did Alexandra Boltasseva win her first award?,2008,scientist,315,yyyy
What year did Alexandra Boltasseva win her first award?,2008,scientist,315,yyyy
How many years apart were Claire Leroy's gold medal wins at the World Championships?,1,sailor,671,<num_years>
How many years apart were the medals that Blaze Riorden won at the World Indoor Lacrosse Championship?,4,lacrosse,642,<num_years>
How many years are between Argentina's first international match and their biggest defeat by Czechoslovakia?,56,national football team,1160,<num_years>
How many years are between Arntzen's gold medal at the Croatia/Hungary European Championship and her gold medal at the Spain World Championship?,7,handball,493,<num_years>
How many years are between Australia's first international and their first AFC U-23 Asian Cup appearance?,46,national football team,1166,<num_years>
How many years are between Australia's first ODI and its last T20I?,51,cricket team,1164,<num_years>
How many years are between Billard's award for The Outstanding Young Person in Science and Innovation and Innovative Teaching Grant?,2,scientist,321,<num_years>
On what month and day does Japan's fiscal year end?,March 31,economy,248,%B %d
How many years are between Chen Yufei's gold medal at the Kota Kinabalu Asian Junior Championships and her gold medal at the Tokyo Olympics?,7,badminton,129,<num_years>
"How many years are between the year Malaysia's nominal GDP rank was 34th and the year its PPP GDP per capita was $32,901?",0,economy,250,<num_years>
How many years are there between England's first ODI and first T20I?,34,cricket team,1172,<num_years>
How many years are there between when Zumla won the EU-EDCTP Pascoal Mocumbi Prize and the Karolinska Institutet Science Award?,9,scientist,364,<num_years>
"How many years before ""Money Don't Matter 2 Night"" was ""Diamonds and Pearls"" released?",1,song,1075,<num_years>
How many years before Alphonse Gallegos died was he consecrated?,10,christian leader,829,<num_years>
"How many years before Chapter V was ""So Far Away"" released?",2,album,942,<num_years>
How many years before Diegel died was the picture taken?,19,golf,68,<num_years>
What year did Alicia Coutts win Olympic gold?,2012,swimming,665,yyyy
What year did Alimuddin Zumla win the Union Medal?,2018,scientist,364,yyyy
How many years before Frank Urso began his pro career was he inducted into the U.S. Lacrosse Hall of Fame?,6,lacrosse,656,<num_years>
How many years before he died did Art Carney last get married?,23,actor,2,<num_years>
What year did Argentina achieve its highest ranking?,2007,national football team,1160,yyyy
How many years before he married Audrey Karnes Snead did Snead begin his pro career?,6,golf,70,<num_years>
How many years before his death did Adolf von Baeyer win the Nobel Prize in Chemistry?,12,nobel,369,<num_years>
How many years before his death did Miloš Obrenović I begin his second reign as the Prince of Serbia?,2,emperor,765,<num_years>
What year did Argentina become World Cup champions for the first time?,1978,national football team,1160,yyyy
How many years before his death did Peter III begin his reign as King of Sicily?,3,emperor,122,<num_years>
How many years before Jeelani died did his NBA career end?,27,ice hockey,561,<num_years>
How many years before Johann Friedrich Wilhelm Adolf Baeyer's death did he win the Nobel Prize for Chemistry?,12,nobel,369,<num_years>
How many years before Stephen Hawking died did he win the Copley Medal?,12,nobel,352,<num_years>
What year did Argentina make its first World Cup appearance?,1930,national football team,1160,yyyy
How many years before the 14 On Fire concert tour began did the 50 & Counting concert tour end?,1,concert,1035,<num_years>
What year did Art Wilson play for the Cleveland Indians?,1921,baseball,400,yyyy
"How many years before the 2021 Myanmar protests did the general election results occur, which the protesters want to recognize?",1,current war,964,<num_years>
How many years before the last closure of the station was the picture taken?,7,railway,465,<num_years>
How many years before the protests was the constitution they sought to abolish drafted?,13,current war,964,<num_years>
How many years between his first and last award?,26,nobel,370,<num_years>
"How many years did ""Rudolph the Red-Nosed Reindeer,"" voiced by Billie Mae Richards, run as a television special?",46,character,1095,<num_years>
How many years did Ambrose Rayappan serve as Archbishop Emeritus of Pondicherry and Cuddalore?,20,christian leader,817,<num_years>
How many years did Antonio Mohamed manage his previous team before managing the team he currently manages?,1,footballer,36,<num_years>
How many years did Argentina support the Salvadoran Civil War?,4,civil war,1022,<num_years>
How many years did Art Carney work as an actor starting from 1939?,54,actor,2,<num_years>
How many years did Aslam Watanjar serve in the military?,25,office holder,913,<num_years>
What year did Aruna Quadri achieve his highest ranking?,2022,tabletennis,710,yyyy
How many years did Babe Young play for MLB?,12,baseball,401,<num_years>
How many years did Babe Young play for the Cincinnati Reds?,2,baseball,401,<num_years>
How many years did Bayinnaung rule as the Suzerain of Siam?,17,emperor,119,<num_years>
What year did Aruna Quadri win a silver medal at the Commonwealth Games?,2018,tabletennis,710,yyyy
Over how many years was Dwayne Johnson an active wrestler?,13,wrestling,7,<num_years>
How many years did Benny McCoy play for the Detroit Tigers?,1,baseball,405,<num_years>
How many years did Bill Hosket play for the Buffalo Braves?,2,basketball,569,<num_years>
How many years did Bill Hosket play in his career?,4,basketball,569,<num_years>
How many years did Brit Pettersen attend the World Cup?,7,skier,781,<num_years>
How many years did Chuck Howley play for the Los Raiders?,12,rugby,74,<num_years>
How many years did Cody Ware race in the NASCAR Xfinity Cup Series?,7,racing,265,<num_years>
What year did Aslam Watanjar begin serving as Minister of Communications?,1980,office holder,913,yyyy
How many years did Daria Timoshenko skate before retiring?,21,figure skating,735,<num_years>
How many years did Daria Timoshenko skate for Azerbaijan?,6,figure skating,735,<num_years>
How many years did Davy Jones compete in the Le Mans division?,4,racing,517,<num_years>
How many years did Davy Jones race in the 24 Hours of Le Mans?,4,racing,517,<num_years>
How many years did Derrell Palmer play for the Cleveland Browns?,4,nfl,546,<num_years>
How many years did Derrick Summers play for the Jacksonville Sharks?,3,nfl,551,<num_years>
How many years did Eli Manning attend Ole Miss?,4,rugby,75,<num_years>
How many years did Eli Manning play for the New York Giants?,15,rugby,75,<num_years>
What year did Babe Young make his MLB debut?,1936,baseball,401,yyyy
How many years did Emmitt Smith play for the Dallas Cowboys?,12,rugby,558,<num_years>
How many years did Hulk Hogan actively wrestle?,35,wrestling,339,<num_years>
How many years did Ingenuity fly?,1,space probe,1206,<num_years>
How many years did it take for Claire Leroy to win a gold medal after her first bronze medal?,3,sailor,671,<num_years>
How many years did it take for inflation in France to decrease by 0.8%?,1,economy,243,<num_years>
How many years did it take for Mears to win a NASCAR Cup Series race?,4,martial artist,264,<num_years>
What year did Bill Hewitt play for the Chicago Bulls?,1974,basketball,568,yyyy
What year did Bill Hosket win a gold medal at the Olympic Games?,1968,basketball,569,yyyy
How many years did it take for Sri Lanka to become a full member after attaining its Associate Member ICC status?,16,national cricket team,1191,<num_years>
How many years did it take for the fourth single to be released after the first single on the album 14 Shades of Grey?,1,album,942,<num_years>
What year did Brandon Miller first win the Harry Lumley Trophy?,2002,lacrosse,644,yyyy
How many years did it take for the Human Development Index of France to grow by 0.089 points?,1,economy,243,<num_years>
How many years did it take for the NYSE to go from a US$20.161 trillion volume to a US$26.2 trillion market cap?,10,monument,626,<num_years>
How many years did it take Sri Lanka to become a full ICC member after becoming an Associate member?,16,national cricket team,1191,<num_years>
What year did Brit Pettersen make her World Cup debut?,1982,skier,781,yyyy
How many years did it take to rebuild the Palace of Westminster?,36,monument,726,<num_years>
"Rounding up, what was the difference in years between the planned and elapsed time of the Orbiter Mission duration?",5,space probe,457,<num_years>
"Since 2013, what year did Chen Yufei not win a medal in badminton?",2021,badminton,129,yyyy
How many years did it take to rebuild the Palace of Westminster?,36,monument,726,<num_years>
What year did Bustamante win the most medals?,1998,martial artist,849,yyyy
How many years did it take to rebuild the Palace of Westminster?,36,monument,726,<num_years>
"How many years did it take to record ""21st Century Breakdown""?",2,song,1070,<num_years>
How many years did James Worthy play professionally?,12,nba,81,<num_years>
How many years did Joan Crawford and Franchot Tone live together?,4,actor,8,<num_years>
How many years did Marcos Leite's playing career last?,22,ice hockey,579,<num_years>
What year did Carolijn Brouwer win a silver medal representing Belgium at the World Championships?,2007,sailor,668,yyyy
What year did Casey Mears have his first Daytona 500 race?,2003,martial artist,264,yyyy
What year did Charlotte Atkinson win her first bronze medal in the Island Games?,2011,swimming,669,yyyy
How many years did Melissa L. Coates work professionally?,18,body builder,806,<num_years>
What year did Charlotte Atkinson win the most gold medals?,2015,swimming,669,yyyy
What year did Claire Leroy win her most recent World Championships medal?,2011,sailor,671,yyyy
How many years did Mohammad Yamin serve as Minister of National Education?,2,office holder,861,<num_years>
How many years did Mohammad-Ali Foroughi serve as Prime Minister of Iran?,1,office holder,928,<num_years>
How many years did Mohd. Ibrahim Moustafa serve as the leader of the Egyptian Army?,2,current war,1006,<num_years>
How many years did Nate Archibald play professionally?,14,nba,83,<num_years>
How many years did Peter III reign as King of Sicily?,3,emperor,122,<num_years>
The Space Shuttle's first crewed flight occurred how many years after its first flight?,4,space program,1062,<num_years>
How many years did Pippen play between his stints in Chicago?,5,nba,89,<num_years>
What year did Cody Ware race his first NASCAR Cup Series race?,2017,racing,265,yyyy
How many years did Roy Emerson play at an amateur level until he turned pro?,15,tennis,50,<num_years>
How many years did Sead Hasanefendić work as manager for the Switzerland team starting from 1980?,6,handball,503,<num_years>
How many years did Stephen Hawking and Jane Wilde have a marital relationship?,30,nobel,352,<num_years>
Was the rate of inflation in France higher in 2020 or 2018?,2018,economy,243,yyyy
What year did Daria Timoshenko win a gold medal at the World Junior Championships?,1999,figure skating,735,yyyy
How many years did the B-24 Skua fly before it was completely retired?,8,aircraft,226,<num_years>
What year did Davy Jones run his first Daytona 500 race?,1995,racing,517,yyyy
How many years did the consecration of Valen Chapel take after it was closed?,76,church,715,<num_years>
What age did Paul Gauguin die at?,54,painter,349,<num_years>
How many years did the Coordination Center for Ethnic Germans remain operational?,8,agency,1139,<num_years>
How many years did the Ethiopian-Adal war last?,14,empire,22,<num_years>
How many years did the last monarch of the Kalmar Union rule?,10,empire,430,<num_years>
On what date did the second Launch Pad become operational?,"May 5, 2005",launchpad,628,"%B %d, %Y"
"How many years did the recording of ""21st Century Breakdown"" take?",1,song,1070,<num_years>
What year did Dawn McEwen make her first Olympic appearance?,2014,curling,288,yyyy
What year did Dennis Erickson coach at Billings Central Catholic High School?,1970,nfl,540,yyyy
What year did Derrell Palmer last play a professional sport?,1953,nfl,546,yyyy
What year did Emma Kathryn Miskew first win a medal at the World Curling Championships?,2013,curling,291,yyyy
What year did Heiko Kroeger win a gold medal at the Olympics in Sydney?,2000,sailor,677,yyyy
What is the average length of time between Dolly Parton's tours in years?,3,concert,1054,<num_years>
What is the date of birth of Pierre Auguste Cot?,"February 17, 1837",painter,350,"%B %d, %Y"
What year did Henrieta Farkašová first win a gold medal at the World Championships?,2009,skier,791,yyyy
How many years did Theo Bot serve as Ambassador of the Netherlands to Austria?,3,person,915,<num_years>
What year did Henrieta Farkašová first win a medal in any competition?,2009,skier,791,yyyy
How many years did Thiago Alves play for Grêmio Náutico União starting from 2000?,3,volleyball,96,<num_years>
How many years did Žarko Marković play for Montenegro?,6,handball,504,<num_years>
What year did Henrieta Farkašová win a bronze medal at the Sochi Olympics?,2014,skier,791,yyyy
How many years did Žarko Marković play for Montenegro?,6,handball,504,<num_years>
How many years did Zinedine Zidane spend in the youth division?,9,footballer,40,<num_years>
What is the edited length of the album?,4:12,song,1075,
What year did Henrieta Farkašová win her first gold medal in the Paralympic Games?,2010,skier,791,yyyy
What year did Hulk Hogan become an actor?,1982,wrestling,339,yyyy
How many years elapsed between Franchitti's first race in the IndyCar Series and his first race in the Champ Car career?,5,car driver,516,<num_years>
What year did Janice Lawrence Braxton win a gold medal in the Olympics?,1984,ice hockey,577,yyyy
How many years elapsed between Miskew's gold medal at the Canada Winter Games and her gold medal at the Canadian Olympic Curling Trials?,10,curling,291,<num_years>
How many years elapsed between Steve Austin's first retirement and his return match?,19,wrestling,13,<num_years>
How many years elapsed between the reigns of Prince of Serbia for Miloš Obrenović I?,19,emperor,765,<num_years>
What year did Judah Ben-Hur first appear on the screen?,1925,character,1101,yyyy
"What is the running time of the film ""8 Mile"" in minutes?",110,movie,1077,<num_minutes>
How many years elapsed between when Patricia McCoy became House Minority Leader and the next general election?,3,legislature,936,<num_years>
What is the running time of the movie 49th Parallel in minutes?,123,movie,1078,<num_minutes>
How many years elapsed from the beginning of Bayinnaung's reign as Suzerain of Lan Na to the end of his first reign as Suzerain of Lan Xang?,10,emperor,119,<num_years>
How many years had Bev Francis's career lasted when she debuted her first match?,39,body builder,778,<num_years>
What year did Kaija Parve win her last gold medal at the World Championships?,1988,skier,793,yyyy
What year did Kristina Gorshkova win a gold medal at the Winter Universiade?,2011,figure skating,743,yyyy
How many years had Dario Franchitti been retired from IndyCar when he was elected to the Motorsports Hall of Fame?,6,car driver,516,<num_years>
How many years had Dick King-Smith been a children's author when he married his second wife?,23,book,929,<num_years>
How many years had Eli Manning played for the Giants before he won the Walter Payton NFL Man of the Year in 2016?,12,rugby,75,<num_years>
What year did Leo Diegel last win a major championship?,1929,golf,68,yyyy
How many years had Hulk Hogan been a wrestler when he started acting?,5,wrestling,339,<num_years>
What year did Marcos Leite win gold in the FIBA AmeriCup games?,1984,ice hockey,579,yyyy
How many years had Jack Nicklaus been playing when he won his first Masters Tournament?,2,golf,66,<num_years>
How many years had Jack Nicklaus been playing when he won his last PGA as leading money winner?,15,golf,66,<num_years>
What year did Marina Alabau first compete in the World Championships for Women's sailboarding?,2006,sailor,688,yyyy
What year did Matt Biondi first win a gold medal at the Olympic Games?,1984,swimming,115,yyyy
What year did Matt Biondi win 4 gold medals at the Summer Universiade games?,1985,swimming,115,yyyy
How many years had James Worthy been playing professionally when he won the NCAA Championship?,0,nba,81,<num_years>
How many years had Max Aaron been skating before he retired in 2018?,22,figure skating,747,<num_years>
What year did Matt Biondi win his only bronze in the Olympics?,1988,swimming,115,yyyy
How many years had Nicki Minaj been with her first partner when she started performing?,4,musician,347,<num_years>
"How many years has 20th Century Studios, Inc. been in existence?",87,company,592,<num_years>
How many years has 888 Holdings PLC been in existence?,25,company,595,<num_years>
How many years has AC/DC been a band?,49,musician,468,<num_years>
What year did Maxim Shabalin first win a medal at the World Junior Championships?,2001,figure skating,748,yyyy
How many years has AC/DC been performing?,49,musician,468,<num_years>
How many years has Alessandro Riguccini been active in his career?,23,martial artist,840,<num_years>
What year did Maxim Shabalin last win a medal at the European Championships?,2010,figure skating,748,yyyy
How many years has B.J. Neufeld been associated with a member association?,15,curling,281,<num_years>
How many years has Benedict Cumberbatch been acting?,24,actor,3,<num_years>
How many years has Dawn McEwen played for Ontario since 2003?,4,curling,288,<num_years>
What year did Nicki Minaj break up with her first partner?,2014,musician,347,yyyy
What year did Novak Djokovic win a bronze medal at the Olympic Games?,2008,tennis,509,yyyy
What year did Novak Djokovic win his first U.S. Open?,2011,tennis,509,yyyy
How many years has Hungary participated in the Summer Olympics?,29,athelete,1026,<num_years>
How many years has it been since Bustamante last fought?,10,martial artist,849,<num_years>
How many years has it been since the Firefly was retired?,66,aircraft,1128,<num_years>
What year did Percy Faith die?,1976,musician,472,yyyy
"What year did Pierre Auguste Cot write ""Springtime""?",1873,painter,350,yyyy
How many years has it been since the Supreme Court of Argentina was established?,159,court,253,<num_years>
"What year did Pierre Auguste Cot write ""The Storm""?",1880,painter,350,yyyy
On what date was Catch-22 published?,"November 10, 1961",book,702,"%B %d, %Y"
What year did Rudolph the Red-Nosed Reindeer first appear on television?,1964,character,1095,yyyy
How many years has it been since the V/Line Corporation was formed as a statutory corporation?,19,agency,1141,<num_years>
What year did Sam Snead begin playing professionally?,1934,golf,70,yyyy
How many years has Nicki Minaj been active in her career?,18,musician,347,<num_years>
How many months ago did Aruna Quadri achieve his highest ranking?,7,tabletennis,710,<num_months>
How many years has Ryan Hunter-Reay participated in the Rolex Grand-Am Sports Car Series since 2006?,7,car driver,521,<num_years>
How many years has the JF-17 Thunder been used in China?,15,fighter,229,<num_years>
How many months are between Quadri's current rank and his highest rank?,1,tabletennis,710,<num_months>
What year did Sri Lanka gain its Associate Member ICC status?,1965,national cricket team,1191,yyyy
What year did Sri Lanka make its first World Cup appearance?,1975,national cricket team,1191,yyyy
What year did Stéphane Antiga win a silver medal in Moscow?,2006,volleyball,588,yyyy
On what date was Valderøy Church consecrated?,"July 29, 1961",church,714,"%B %d, %Y"
How many years in a row did Kaija Parve win a gold medal in the women's biathlon?,5,skier,793,<num_years>
How many years into his professional career did Sam Snead win the Masters?,15,golf,70,<num_years>
How many years into the war was the picture of Ronald Reagan and José Napoleón Duarte taken?,6,civil war,1022,<num_years>
How many years lapsed between the introduction and the frontline withdrawal of the B-24 Skua?,3,aircraft,226,<num_years>
How many years later was the next album released after 14 Shades of Grey?,2,album,942,<num_years>
What is the running time of this movie?,62:12,album,942,
How many years long was the last reign of the Kalmar Union?,10,empire,430,<num_years>
What year did Stephen Hawking win the Presidential Medal of Freedom?,2009,nobel,352,yyyy
How many years longer did Hasanefendić manage Switzerland than VfL Gummersbach?,3,handball,503,<num_years>
How many days after the 2014 Ludian earthquake were 112 people reported missing?,5,earthquake,1042,<num_days>
How many years longer did Hewitt's NBA career last than his college career?,2,basketball,568,<num_years>
What year did the Australian team achieve its best result in the Summer Olympics?,1992,national football team,1166,yyyy
How many years longer did Minaj's relationship with Safaree Samuels last than with Meek Mill?,12,musician,347,<num_years>
How many years longer did Pippen play for the Chicago Bulls than for the Portland Trail Blazers?,8,nba,89,<num_years>
How many years longer did Sedki serve as a leader or commander than Mohd. Ibrahim Moustafa?,2,current war,1006,<num_years>
How many years longer did Smawley coach Pembroke State than he played for the Baltimore Bullets?,3,basketball,566,<num_years>
How many years longer did Wilson play for the New York Giants than the Boston Braves?,3,baseball,400,<num_years>
How many years longer is the orbiter's planned mission duration than its current elapsed duration?,5,space probe,457,<num_years>
How many years longer was Caswell's term as the 1st Governor of North Carolina than his term as the 2nd Grand Master of the Masons of North Carolina?,3,politician,904,<num_years>
How many years longer was Derrick Brooks a player for the Tampa Bay Buccaneers than an executive for the Tampa Bay Storm?,7,nfl,547,<num_years>
How many years longer was Franchitti's IndyCar Series career than his NASCAR Camping World Truck Series career?,9,car driver,516,<num_years>
How many years longer was Gagauzia an unrecognized breakaway state compared to Tatarstan?,2,event,1056,<num_years>
How many years longer was Gordon's NASCAR Xfinity Series career than his IndyCar Series career?,2,car driver,518,<num_years>
What year did the Australian team make its first Summer Olympics appearance?,1992,national football team,1166,yyyy
How many years longer was Habte Giyorgis prime minister than Yekuno Amlak was emperor?,3,empire,22,<num_years>
How many years longer was Hosket's NBA career than his college career?,1,basketball,569,<num_years>
How many years longer was Leite's playing career than his college career?,9,ice hockey,579,<num_years>
How many years longer was Mauritania a belligerent than France?,3,military conflict,1014,<num_years>
"What is the time difference in years between the first and last launch at site 200/39, rounded to the nearest year?",42,launchpad,629,<num_years>
