id,question,answer,category,table_id,output,answer_format
87,In what year did Sean Kelly attend his first World Championships?,1982,cycling,105,"From the information provided in the table, we can see that Sean Kelly won a bronze medal at the 1982 World Championships in Goodwood. This is the earliest World Championship event mentioned for him, indicating it was likely his first.

Therefore, the year Sean Kelly attended his first World Championships was 1982.
Final Answer: 1982",yyyy
88,In what year did Ali Farag win his first team gold at the World Team Championships?,2017,squash,106,"To determine the year Ali Farag won his first team gold at the World Team Championships, we need to examine the information provided in the ""World Team Championships"" section of the table.

The relevant entries are:
- Gold medal - first place | 2017 Marseille | Team
- Gold medal - first place | 2019 Washington D.C. | Team

From this information, we can see that Ali Farag won his first team gold at the World Team Championships in 2017.

Final Answer: 2017",yyyy
89,How many more years did Alejandro Valverde spend with Illes Balears–Banesto than with Kelme–Costa Blanca?,3,cycling,99,"To determine how many more years Alejandro Valverde spent with Illes Balears-Banesto compared to Kelme-Costa Blanca, we need to look at the duration of his association with each team.

For Kelme-Costa Blanca:
- He joined in 2002 and left in 2004.
- Duration: 2004 - 2002 = 2 years.

For Illes Balears-Banesto:
- He joined in 2005 and left in 2010.
- Duration: 2010 - 2005 = 5 years.

Now, we calculate the difference:
- Difference: 5 years (Illes Balears-Banesto) - 2 years (Kelme-Costa Blanca) = 3 years.

Therefore, Alejandro Valverde spent 3 more years with Illes Balears-Banesto than with Kelme-Costa Blanca.
Final Answer: 3 years",<num_years>
90,How many more years did Lal play for Delhi than for Punjab?,4,cricket,53,"To determine how many more years Lal played for Delhi compared to Punjab, we need to look at the duration of his association with each team.

From the table:
- Punjab: 1968-1972 (4 years)
- Delhi: 1973-1991 (1973 + 1991 - 1 = 19 years)

Now, we calculate the difference in years:
19 years (Delhi) - 4 years (Punjab) = 15 years

Final Answer: 15 years",<num_years>
91,How many more years did Madan Lal spend at Delhi than in Punjab?,14,cricket,53,"To determine how many more years Madan Lal spent at Delhi compared to Punjab, we need to look at the years he played for each team.

From the table:
- Madan Lal played for Punjab from 1968-1972.
- Madan Lal played for Delhi from 1973-1991.

First, calculate the number of years he played for Punjab:
1972 - 1968 + 1 = 5 years

Next, calculate the number of years he played for Delhi:
1991 - 1973 + 1 = 19 years

Now, find the difference:
19 years (Delhi) - 5 years (Punjab) = 14 years

Final Answer: Madan Lal spent 14 more years at Delhi than in Punjab.",<num_years>
92,How many more years did Richards play for the Leeward Islands than for Glamorgan?,17,cricket,57,"To determine how many more years Richards played for the Leeward Islands compared to Glamorgan, we need to look at the years he was associated with each team.

From the table:
- Leeward Islands: 1971-1991 (20 years)
- Glamorgan: 1990-1993 (4 years)

Next, we subtract the number of years for Glamorgan from the number of years for Leeward Islands:
20 years (Leeward Islands) - 4 years (Glamorgan) = 16 years

Therefore, Richards played 16 more years for the Leeward Islands than for Glamorgan.
Final Answer: 16",<num_years>
93,How many more years did the Malayan Emergency last after the independence of the Federation of Malaya?,3,proxy war,997,"To determine how many more years the Malayan Emergency lasted after the independence of the Federation of Malaya, we need to follow these steps:

1. Identify the end date of the Malayan Emergency.
2. Identify the independence date of the Federation of Malaya.
3. Calculate the difference in years between these two dates.

Step 1: The Malayan Emergency ended on 31 July 1960.
Step 2: The Federation of Malaya achieved independence on 31 August 1957.
Step 3: Calculate the difference:
- From 31 August 1957 to 31 July 1960 is 2 years and 11 months.

Therefore, the Malayan Emergency lasted 2 years and 11 months after the independence of the Federation of Malaya.

Final Answer: 2 years and 11 months",<num_years>
94,How many more years did Winston Churchill serve as a leader than Harold Macmillan?,1,proxy war,997,"To determine how many more years Winston Churchill served as a leader compared to Harold Macmillan, we need to look at their respective leadership periods.

1. **Winston Churchill**:
   - Leadership period: 1951-1955
   - Duration: 1951 to 1955 = 4 years

2. **Harold Macmillan**:
   - Leadership period: 1957-1960
   - Duration: 1957 to 1960 = 3 years

Next, we calculate the difference in their terms:
\[ \text{Difference} = 4 \text{ years} - 3 \text{ years} = 1 \text{ year} \]

Therefore, Winston Churchill served 1 more year as a leader than Harold Macmillan.
Final Answer: 1 year",<num_years>
95,How many more years did Younis play for Surrey than for Glamorgan?,2,cricket,55,"To determine how many more years Waqar Younis played for Surrey compared to Glamorgan, we need to look at the years mentioned for each team in the ""Domestic team information"" section of the table.

For Surrey:
- The years given are 1990-1993, which is a span of 4 years.

For Glamorgan:
- The years given are 1997-1998, which is a span of 2 years.

Next, we calculate the difference between these two spans:
- Years played for Surrey: 4 years
- Years played for Glamorgan: 2 years
- Difference: 4 - 2 = 2 years

Therefore, Waqar Younis played 2 more years for Surrey than for Glamorgan.

Final Answer: 2 years",<num_years>
96,What year did Joel Makin reach his highest ranking?,2021,squash,107,"To determine the year Joel Makin reached his highest ranking, we need to look at the information provided in the table. Specifically, we should focus on the ""Highest ranking"" row.

According to the table, Joel Makin's highest ranking was No. 8. The corresponding date for this ranking is given as ""December 2021.""

Therefore, Joel Makin reached his highest ranking in December 2021.

Final Answer: 2021",yyyy
97,What year did Joel Makin turn professional?,2014,squash,107,"According to the table, Joel Makin turned pro in 2014.
Final Answer: 2014",yyyy
98,How many more years until the next IBSF World Championships?,2,sports event,203,"The table shows that the IBSF World Championships mentioned took place in 2017. The next championship is in 2019. To find out how many years until the next championship, we calculate the difference between 2019 and 2017.

2019 - 2017 = 2

Final Answer: 2 years",<num_years>
99,How many more years was Arnaldo Schulz a leader or commander than Filipe Samuel Magaia?,2,proxy war,1000,"To determine how many more years Arnaldo Schulz was a leader or commander compared to Filipe Samuel Magaia, we need to look at their respective time periods.

Arnaldo Schulz's command period was from 1964 to 1968, which is 4 years.
Filipe Samuel Magaia's command period was from 1964 to 1966, which is 2 years.

Now, subtract the shorter period from the longer one:
4 years - 2 years = 2 years.

Therefore, Arnaldo Schulz was a leader or commander for 2 more years than Filipe Samuel Magaia.
Final Answer: 2 years",<num_years>
100,How long in months did the 2002 Atlantic hurricane season last?,3,cyclone,1090,"To determine the duration of the 2002 Atlantic hurricane season in months, we need to calculate the time between the first system forming and the last system dissipating.

- First system formed: July 14, 2002
- Last system dissipated: October 16, 2002

Let's break this down month by month:
1. July 14 to end of July: 19 days (July has 31 days)
2. Entire month of August: 31 days
3. Entire month of September: 30 days
4. From January 1 to October 16: 16 days (October has 31 days)

Now, let's add up the days:
- July: 19 days
- August: 31 days
- September: 30 days
- October: 16 days

Total days = 19 + 31 + 30 + 16 = 96 days

Next, convert the total days into months. Since there are approximately 30.44 days in a month (365 days / 12 months), we can calculate the number of months:

\[ \frac{96 \text{ days}}{30.44 \text{ days/month}} \approx 3.15 \text{ months} \]

Since we are asked for the length in months, we can round this to the nearest whole number or express it as 3 months and some additional days.

Final Answer: 3 months",<num_months>
101,How many more years was Rhodesia a belligerent than FROLIZI?,13,proxy war,1001,"To determine how many more years Rhodesia was a belligerent compared to FROLIZI, we need to identify the dates each organization was involved in the conflict.

From the table:
- Rhodesia was a belligerent from 1964 to 1979.
- FROLIZI (Front for the Liberation of Zimbabwe) was involved from 1978 to 1979.

First, calculate the duration of Rhodesia's involvement:
1979 - 1964 = 15 years

Next, calculate the duration of FROLIZI's involvement:
1979 - 1978 = 1 year

Now, find the difference in years:
15 years (Rhodesia) - 1 year (FROLIZI) = 14 years

Therefore, Rhodesia was a belligerent for 14 more years than FROLIZI.
Final Answer: 14 years",<num_years>
102,How many more years was Valverde with the Puente Tocinos team than with Illes Balears–Banesto?,4,cycling,99,"To find out how many more years Valverde was with the Puente Tocinos team compared to Illes Balears–Banesto, we need to look at the years he spent with each team.

Puente Tocinos: 1989-1998, which is 1998 - 1989 = 9 years
Illes Balears–Banesto: 2005-2010, which is 2010 - 2005 = 5 years

Now, subtract the years with Illes Balears–Banesto from the years with Puente Tocinos:
9 years - 5 years = 4 years

Therefore, Valverde was with the Puente Tocinos team 4 more years than with Illes Balears–Banesto.
Final Answer: 4",<num_years>
103,How many total years did Gino Bartali ride for professional teams?,19,cycling,102,"To determine the total number of years Gino Bartali rode for professional teams, we need to add up the durations of his stints with each professional team listed in the table.

1. Fréjus (1935): This appears to be just one year.
2. Legnano (1936-1945): This spans 10 years.
3. Tebag and Legnano (1946-1947): This is 2 years.
4. Legnano (1948): This is another single year.
5. Bartali-Gardiol (1949-1950): This is 2 years.
6. Bartali-Ursus (1951): This is one year.
7. Tebag and Bartali (1952): This is one year.
8. Bartali (1953): This is one year.
9. Bartali-Brooklin (1954): This is one year.

Now, adding these durations together:
1 + 10 + 2 + 1 + 2 + 1 + 1 + 1 + 1 = 19

Final Answer: Gino Bartali rode for professional teams for a total of 19 years.",<num_years>
104,How many total years did Kimi Räikkönen compete?,17,f1,344,"To determine the total years Kimi Räikkönen competed, we need to consider both his Formula One World Championship career and his World Rally Championship record.

1. Formula One World Championship career:
   - Active years: 2001-2009, 2012-2021
   - Total years: (2009 - 2001 + 1) + (2021 - 2012 + 1) = 9 + 10 = 19 years

2. World Rally Championship record:
   - Active years: 2009-2011
   - Total years: 2011 - 2009 + 1 = 3 years

Adding these together:
19 years (Formula One) + 3 years (World Rally Championship) = 22 years

Final Answer: 22 total years",<num_years>
105,How many total years did Yamamoto play in his senior career?,17,boxing,484,"To determine the total number of years Shohei Yamamoto played in his senior career, we need to sum up the years listed for each team he played for.

1. 2001 - Kyoto Purple Sanga: 0 years
2. 2002-2003 - Mito HollyHock: 2 years
3. 2004-2006 - ALO's Hokuriku: 3 years
4. 2007-2009 - Roasso Kumamoto: 3 years
5. 2010-2012 - V-Varen Nagasaki: 3 years
6. 2013-2017 - Kamatamare Sanuki: 5 years
7. 2018 - Ococias Kyoto AC: 1 year

Now, add these years together:
2 + 3 + 3 + 3 + 5 + 1 = 17 years

Final Answer: Yamamoto played for a total of 17 years in his senior career.",<num_years>
106,How many total years was Michael Schumacher active in his career?,17,f1,345,"To determine the total number of years Michael Schumacher was active in his Formula One career, we need to add the durations of each period he was active.

From the table, we see that his active years were:
- 1991-2006 (16 years)
- 2010-2012 (3 years)

Now, let's add these periods together:
16 years + 3 years = 19 years

Final Answer: 19 years",<num_years>
107,What year did Paul Coll win a silver medal at the Commonwealth Games?,2018,squash,109,"To determine the year Paul Coll won a silver medal at the Commonwealth Games, I'll look through the relevant information provided in the table.

1. The ""Commonwealth Games"" section lists medals won by Paul Coll.
2. There are two entries for Commonwealth Games:
   - Silver medal - second place | 2018 Gold Coast | Singles
   - Bronze medal - third place | 2018 Gold Coast | Mixed doubles

From this information, it is clear that Paul Coll won a silver medal at the Commonwealth Games in 2018.

Final Answer: 2018",yyyy
108,In what year did Paul Coll receive his first silver medal?,2018,squash,109,"To determine the year Paul Coll received his first silver medal, I'll analyze the information provided in the ""World Championships"" section of the table.

The relevant entries are:
- Silver medal - second place | 2019-20 Doha | Singles
- Bronze medal - third place | 2020-21 Chicago | Singles

Since the table lists the silver medal first, it indicates that this was Paul Coll's first silver medal. Therefore, the year he received his first silver medal is 2019-20.

Final Answer: 2019-20",yyyy
109,How many years after achieving his highest rank did Kaiō Hiroyuki retire?,11,sumo,145,"To determine how many years after achieving his highest rank Kaiō Hiroyuki retired, we need to find the difference between his retirement date and the year he reached his highest rank.

From the table:
- Highest rank: Ōzeki (September 2000)
- Retirement: July 2011

First, we calculate the time from September 2000 to July 2011:
- From September 2000 to September 2011 is 11 years.
- From September 2011 to July 2011 is approximately 8 months (since July is before September).

Since the question asks for the number of years, we consider only the full years:
11 years.

Therefore, Kaiō Hiroyuki retired 11 years after achieving his highest rank of Ōzeki.

Final Answer: 11 years",<num_years>
110,In what year did Paul Coll first win a gold medal in the World Doubles Championships?,2016,squash,109,"To determine the year Paul Coll first won a gold medal in the World Doubles Championships, we need to examine the information provided in the ""World Doubles Championships"" section of the table.

The relevant entries are:
- Gold medal - first place | 2016 Darwin | Mixed doubles
- Gold medal - first place | 2017 Manchester | Mixed doubles
- Bronze medal - third place | 2016 Darwin | Doubles
- Bronze medal - third place | 2017 Manchester | Doubles

From this information, it is clear that Paul Coll won his first gold medal in the World Doubles Championships in 2016 at the Darwin event.

Final Answer: 2016",yyyy
111,In what year did Paul Coll win his first bronze medal?,2016,squash,109,"To determine the year Paul Coll won his first bronze medal, we need to examine the timeline of his achievements listed in the table.

The table lists his medals under different championships:

1. World Championships: 
   - Silver medal in 2019-20 Doha (Singles)
   - No bronze medal mentioned here

2. World Doubles Championships: 
   - Bronze medal in 2016 Darwin (Doubles)
   - Bronze medal in 2017 Manchester (Doubles)

3. Commonwealth Games: 
   - Bronze medal in 2018 Gold Coast (Mixed Doubles)
   - Bronze medal in 2018 Gold Coast (Singles)

From this information, the earliest bronze medal mentioned is from the 2016 Darwin World Doubles Championship.

Final Answer: 2016",yyyy
112,How many years after Barisan Nasional was first part of the United Sabah Party did Gabungan Rakyat Sabah become regional allies of the United Sabah Party?,35,political party,184,"To determine how many years after Barisan Nasional first became part of the United Sabah Party that Gabungan Rakyat Sabah became regional allies, we need to identify the years when each of these alliances occurred.

1. **Identify the year Barisan Nasional first became part of the United Sabah Party:**
   - The table shows that Barisan Nasional was a national affiliation of the United Sabah Party from 1985 to 1990 and again from 2002 to 2018, and most recently since 2021.
   - The earliest mention of Barisan Nasional is from 1985-1990.

2. **Identify the year Gabungan Rakyat Sabah became regional allies of the United Sabah Party:**
   - The table indicates that Gabungan Rakyat Sabah became regional allies of the United Sabah Party since 2020.

3. **Calculate the difference in years:**
   - From 1985 to 2020.
   - 2020 - 1985 = 35 years.

Therefore, Gabungan Rakyat Sabah became regional allies of the United Sabah Party 35 years after Barisan Nasional first became part of the United Sabah Party.

Final Answer: 35 years",<num_years>
113,How many years after being founded as Birlik was the political party founded as Ada?,7,political party,932,"To determine how many years after being founded as Birlik the political party was founded as Adal, we need to calculate the difference between the founding dates of the two incarnations of the party.

1. The party was founded as Birlik on 26 April 2013.
2. The party was re-founded as Adal on 5 November 2020.

Next, we calculate the time difference between these two dates:

- From 26 April 2013 to 31 December 2013: 8 months and 5 days
- From 1 January 2014 to 5 November 2020: 6 years and 10 months

Adding these periods together gives us the total time from the founding of Birlik to the re-founding of Adal:

8 months + 6 years + 10 months = 7 years and 18 months

Converting this to years:

7 years + (18 months / 12) = 7 years + 1.5 years = 8.5 years

Therefore, the political party was founded as Adal 8.5 years after being founded as Birlik.

Final Answer: 8.5 years",<num_years>
114,What year did Paul Coll achieve his highest ranking?,2022,squash,109,"To determine the year Paul Coll achieved his highest ranking, I'll look at the information provided in the ""Highest ranking"" row of the table.

The table states: 
- Highest ranking: No. 1 (1 March 2022)

From this, it is clear that Paul Coll achieved his highest ranking of No. 1 on March 1, 2022.

Final Answer: 2022",yyyy
115,How many years after being laid down did HMS Somerset launch?,2,ship,224,"To determine how many years after being laid down HMS Somerset launched, we need to find the difference between the year it was launched and the year it was laid down.

From the table:
- Laid down: 12 October 1992
- Launched: 25 June 1994

Calculating the difference:
1994 - 1992 = 2 years

Therefore, HMS Somerset launched 2 years after being laid down.
Final Answer: 2 years",<num_years>
116,How many years after being laid down was the HMS Astute launched?,6,ship,1114,"To determine how many years after being laid down the HMS Astute was launched, we need to calculate the difference between the launch date and the laid-down date.

1. Laid down date: 31 January 2001
2. Launched date: 8 June 2007

First, let's convert these dates into years since the laid-down date:
- For 31 January 2001, it's 0 years (since it's the starting point).
- For 8 June 2007, it's approximately 6.5 years (since it's 6 months and some days into the year).

To find the exact number of years, we can break it down:
- From 31 January 2001 to 31 December 2001: 1 year
- From 1 January 2002 to 31 December 2006: 5 more years
- From 1 January 2007 to 8 June 2007: approximately 5 months (which is less than a full year)

Adding these together:
1 + 5 + (less than 1 year) = 6 years and some months

Since we are asked for the number of years, we can round this to 6 years.

Final Answer: 6 years",<num_years>
117,How many years after being laid down was the HMS Victory launched?,7,ship,1115,"To determine how many years after being laid down the HMS Victory was launched, we need to find the difference between the year it was launched and the year it was laid down.

From the table:
- Laid down: 23 July 1759
- Launched: 7 May 1765

First, we calculate the time difference between these two dates:
- From 23 July 1759 to 31 December 1759: 188 days (since there are 31 days in July and 30 days in November, plus all of December)
- From 1 January 1760 to 31 December 1764: 5 years
- From 1 January 1765 to 7 May 1765: 127 days (since there are 31 days in January, 28 days in February, 31 days in March, 30 days in April, and 7 days in May)

Adding these together:
188 days + 5 years + 127 days = 5 years + (188 + 127) days

Since 365 days make up one year, we convert the extra days into years:
(188 + 127) days = 315 days
315 days ÷ 365 days/year ≈ 0.8637 years

So, the total time difference is approximately 5.8637 years. Rounding to the nearest whole number gives us 6 years.

Final Answer: 6 years",<num_years>
118,How many years after being laid down was the I-179 completed?,2,ship,1112,"To determine how many years after being laid down the I-179 was completed, we need to calculate the difference between its completion date and its laying down date.

1. Laying down date: 21 August 1941
2. Completion date: 18 June 1943

We will convert these dates into years and months to accurately calculate the difference.

For 21 August 1941:
- 1941 is the full year
- 8 months (August to June of the next year)

For 18 June 1943:
- 1943 is the full year
- 6 months (June)

Now, let's find the difference:
- Years: 1943 - 1941 = 2 years
- Months: 6 months (18 June 1943) - 8 months (21 August 1941) = -2 months

Since we have negative months, we need to adjust:
- 2 years - 1 year = 1 year
- 12 months + (-2 months) = 10 months

Therefore, the I-179 was completed 2 years after it was laid down.

Final Answer: 2 years",<num_years>
119,How long after the Tonnerre was ordered was it commissioned?,14,ship,1110,"To determine how long after the Tonnerre was ordered it was commissioned, we need to calculate the difference between the commissioning date and the order date.

1. Commissioned date: 21 July 1808
2. Ordered date: 16 April 1794

First, let's break down the time into years and months:

- From 16 April 1794 to 31 December 1794: 9 months and 15 days
- From 1 January 1795 to 31 December 1807: 13 full years
- From 1 January 1808 to 21 July 1808: 6 months and 21 days

Now, summing these periods:

- 9 months + 13 years * 12 months/year + 6 months = 168 months
- Adding the remaining days: 15 + 21 = 36 days

Since the exact day is not needed for the final calculation, we can convert everything to years:

- 168 months / 12 months/year = 14 years

Therefore, the Tonnerre was commissioned 14 years after it was ordered.

Final Answer: 14 years",<num_years>
120,How many years after being launched did HMS Victory fight at Cape Spartel?,17,ship,1115,"To determine how many years after being launched HMS Victory fought at Cape Spartel, we need to find the difference between the year of the battle and the year of launch.

1. HMS Victory was launched on 7 May 1765.
2. The Battle of Cape Spartel took place on 13 November 1782.

Now, calculate the difference:
- From 1765 to 1782 is 17 years.

Therefore, HMS Victory fought at Cape Spartel 17 years after it was launched.
Final Answer: 17 years",<num_years>
121,How many years after being launched was the Maori Underway completed?,1,ship,1111,"To determine how many years after being launched the Maori was completed, we need to calculate the time difference between its launch date and completion date.

From the table:
- Launched: 2 September 1937
- Completed: 30 November 1938

First, let's find the difference in months and days:
- From September 2 to September 30: 28 days
- October: 31 days
- November 1 to November 30: 30 days

Total days from launch to completion:
28 + 31 + 30 = 89 days

Since 89 days is less than a year, we only need to consider the full years:
1937 to 1938 is exactly 1 year.

Therefore, the Maori was completed 1 year after it was launched.
Final Answer: 1 year",<num_years>
122,How many years after being ordered did it take for the HMS Astute to be put into service?,17,ship,1114,"To determine how many years it took for the HMS Astute to be put into service after being ordered, we need to calculate the time difference between the order date and the commissioning date.

1. Order Date: March 1997
2. Commissioning Date: 27 August 2010

First, let's find the difference in years:
- From March 1997 to August 2010 includes all of 1997, plus part of 2010.

3. Calculate the full years:
   - 2000 to 2009 = 10 years

4. Add the partial year:
   - From March 1997 to August 2010 includes 5 months of 2010.
   - Since 2010 is fully counted, we don't need to add any extra months.

Therefore, the total time from order to commissioning is 13 years.

Final Answer: 13 years",<num_years>
123,How many years after being ordered was HMS Victory launched?,7,ship,1115,"To determine how many years after being ordered HMS Victory was launched, we need to calculate the difference between the launch date and the order date.

1. Order date: 14 July 1758
2. Launch date: 7 May 1765

First, we find the difference in years:
- From 14 July 1758 to 31 December 1758: 5 months and 17 days
- From 1 January 1759 to 7 May 1765: 4 years and 4 months

Adding these together:
- 4 years + 4 months + 5 months and 17 days = 4 years and 9 months and 17 days

Since the exact month and day are not needed for the year calculation, we can simplify this to:
- 4 years and 9 months ≈ 5 years (since 9 months is close to a full year)

Therefore, HMS Victory was launched approximately 7 years after it was ordered.

Final Answer: 7 years",<num_years>
124,How many years after being ordered was the HMS Astute laid down?,4,ship,1114,"To determine how many years after being ordered the HMS Astute was laid down, we need to find the difference between the year it was laid down and the year it was ordered.

From the table:
- Ordered: March 1997
- Laid down: 31 January 2001

Calculating the difference:
- 2001 - 1997 = 4 years

Therefore, the HMS Astute was laid down 4 years after it was ordered.
Final Answer: 4 years",<num_years>
125,How many years after being refounded was it dissolved?,2,political party,932,"First, we need to identify the founding dates for both iterations of the party:

1. Founded as Birlik: 26 April 2013
2. Refounded as Adal: 5 November 2020

Next, we determine the dissolution date:
- Dissolved: 26 April 2022

To find out how many years after being refounded the party was dissolved, we calculate the difference between the dissolution date and the refounding date:

From 5 November 2020 to 26 April 2022:
- From 5 November 2020 to 31 December 2020: 2.5 months
- Full years: 1 year (from 1 January 2021 to 26 April 2022)

So, the total time is 1 year and 2.5 months.

Since the question asks for the number of years, we can round this to 1 year.

Final Answer: 1 year",<num_years>
126,How many years after Button's Formula One career began did he have his first win?,6,f1,259,"To determine how many years after Jenson Button's Formula One career began he had his first win, we need to follow these steps:

1. Identify when Button's Formula One career began.
2. Identify when he won his first race.
3. Calculate the difference in years between these two events.

From the information provided:
- Button's Formula One career began in 2000 with the Williams team.
- His first win occurred in 2006 during the Hungarian Grand Prix.

Now, calculate the difference:
2006 (first win) - 2000 (start of career) = 6 years

Therefore, Button had his first win 6 years after his Formula One career began.
Final Answer: 6 years",<num_years>
127,How many years after Button's last win did he end his Formula One career?,5,f1,259,"To determine how many years after Button's last win he ended his Formula One career, we need to identify both dates.

1. Button's last win was at the 2012 Brazilian Grand Prix.
2. His last entry into a Formula One race was at the 2017 Monaco Grand Prix.

Now, calculate the difference between these two years:
2017 (last entry) - 2012 (last win) = 5 years.

Final Answer: 5 years",<num_years>
128,How many years after Chiyonofuji Mitsugu's debut did he die?,46,sumo,131,"To determine how many years after Chiyonofuji Mitsugu's debut he died, we need to find the difference between his death year and his debut year.

1. Chiyonofuji Mitsugu's debut year: September, 1970
2. Chiyonofuji Mitsugu's death year: July 31, 2016

Calculating the difference:
2016 - 1970 = 46 years

Final Answer: 46 years",<num_years>
129,How many years after Copenhagen were the IBF World Championships in Calgary?,2,sports event,1030,"From the table, we can see that the 1983 IBF World Championships were held in Copenhagen, Denmark. The next entry in the table, ""1985 Calgary"", indicates that the championships moved to Calgary in 1985. 

To find out how many years passed between Copenhagen and Calgary, we subtract the year of the Copenhagen event from the year of the Calgary event:
1985 (Calgary) - 1983 (Copenhagen) = 2 years

Final Answer: 2 years",<num_years>
130,How many years after debuting did Haguroyama Masaji retire?,19,sumo,137,"To determine how many years after debuting Haguroyama Masaji retired, we need to calculate the difference between his retirement date and his debut date.
- His debut date was January 1934.
- His retirement date was September 1953.

The difference between these dates is 19 years and 8 months. Since the question asks for the number of years, we can round this to 19 years.

Final Answer: 19 years",<num_years>
131,How many years after Dhyan Chand joined the military did his hockey career begin?,4,hockey,524,"To determine how many years after Dhyan Chand joined the military his hockey career began, we need to identify the relevant years from the information provided in the table.

1. Dhyan Chand joined the military in 1922.
2. His hockey career began in 1926.

Now, we calculate the difference between these two years:
1926 (start of hockey career) - 1922 (year of joining the military) = 4 years

Therefore, Dhyan Chand's hockey career began 4 years after he joined the military.
Final Answer: 4 years",<num_years>
132,In what year did Futabayama Sadaji make his debut?,1927,sumo,134,"To determine the year Futabayama Sadaji made his debut, I'll look at the ""Debut"" row in the table, which states ""March 1927.""

Final Answer: 1927",yyyy
133,How many years after Dhyan Chand's hockey career ended did his military career end?,7,hockey,524,"To determine how many years after Dhyan Chand's hockey career ended his military career ended, we need to follow these steps:

1. Identify the end year of Dhyan Chand's hockey career.
2. Identify the end year of Dhyan Chand's military career.
3. Calculate the difference between these two years.

From the table:
- Dhyan Chand's hockey career ended in 1949.
- Dhyan Chand's military career ended in 1956.

Now, calculate the difference:
1956 (end of military career) - 1949 (end of hockey career) = 7 years.

Final Answer: 7 years",<num_years>
134,How many years after Don Bradman's last Test was his death?,52,cricket,527,"To determine how many years after Don Bradman's last Test match he died, we need to follow these steps:

1. Identify the date of Don Bradman's last Test match.
2. Identify the date of his death.
3. Calculate the difference between these two dates.

Step 1: From the table, Don Bradman's last Test match was on 18 August 1948.

Step 2: According to the table, Don Bradman died on 25 February 2001.

Step 3: Calculate the difference between 25 February 2001 and 18 August 1948.

- From 1948 to 2001, there are 53 years.
- We need to account for the time between 18 August 1948 and 25 February 2001.

Counting the years:
1948 to 2000 = 52 years
2000 to 2001 = 1 year

So, the total years from 1948 to 2001 is 53 years.

Next, calculate the months and days:
- From 18 August to 31 December (end of 1948) = 4 months and 13 days
- From January 2001 to 25 February 2001 = 2 months and 25 days

Since 4 months + 2 months = 6 months, and 13 days + 25 days = 38 days, this is less than a full year.

Therefore, Don Bradman's death occurred 53 years after his last Test match.

Final Answer: 53 years",<num_years>
135,How many years after FAT was GUNT an Anti-Libyan Chadian faction?,7,proxy war,975,"To determine how many years after FAT was GUNT an Anti-Libyan Chadian faction, we need to identify the time periods for both factions.

1. **FAT (Fédération des Armées du Troisième Mondes)**:
   - Duration: 1978-1979

2. **GUNT (Groupement des Unités Nationales et Traditions)**:
   - Duration: 1986-1987

Next, we calculate the difference between these periods:
- Start of GUNT: 1986
- End of FAT: 1979

The difference in years is:
\[ 1986 - 1979 = 7 \text{ years} \]

Therefore, GUNT was an Anti-Libyan Chadian faction 7 years after FAT ceased to be one.

Final Answer: 7 years",<num_years>
136,How many years after Gagan Ajit Singh began playing for the national team did he win a medal at Hobart?,4,hockey,486,"To determine how many years after Gagan Ajit Singh began playing for the national team he won a medal at the 2001 Junior World Cup in Hobart, we need to follow these steps:

1. Identify when he began playing for the national team.
2. Determine the year he won the gold medal at the 2001 Junior World Cup.
3. Calculate the difference between these two years.

From the table:
- Gagan Ajit Singh began playing for the national team in 1997-2001 (for India U21).
- He won the gold medal at the 2001 Junior World Cup in Hobart.

Since he began playing for the national team in 1997 and won the gold medal in 2001, we calculate the difference:
2001 - 1997 = 4 years.

Final Answer: 4 years",<num_years>
137,How many years after going pro did Mohamed El Shorbagy become ranked number one in the world?,8,squash,108,"To determine how many years after turning pro Mohamed El Shorbagy became World No. 1, we need to follow these steps:

1. Identify when he turned pro: 2006
2. Identify when he became World No. 1: November 2014
3. Calculate the difference in years between these two dates

2014 - 2006 = 8 years

Therefore, Mohamed El Shorbagy became World No. 1 8 years after he turned pro.
Final Answer: 8 years",<num_years>
138,How many years after his debut did Aminishiki Ryūji achieve the rank of Sekiwake?,10,sumo,180,"To determine how many years after his debut Aminishiki Ryūji achieved the rank of Sekiwake, we need to look at the dates provided in the table.

1. Aminishiki Ryūji's debut date is January, 1997.
2. His highest rank, Sekiwake, was achieved in September, 2007.

Now, calculate the difference between these two dates:

- From January 1997 to December 1997: 12 months
- From January 2007 to September 2007: 9 months

Total time = 12 months + 9 months = 21 months

Since the question asks for the number of years, we convert 21 months into years:

21 months ÷ 12 months/year = 1.75 years

Therefore, Aminishiki Ryūji achieved the rank of Sekiwake approximately 1.75 years after his debut.
Final Answer: 1.75 years",<num_years>
139,How many years after his debut did Futabayama Sadaji retire?,18,sumo,134,"To determine how many years after his debut Futabayama Sadaji retired, we need to find the difference between his retirement date and his debut date.

1. Debut date: March 1927
2. Retirement date: November 1945

Calculating the difference:
- From March 1927 to March 1945: 18 years
- Adding the time from March 1945 to November 1945: 8 months

Therefore, the total time is 18 years and 8 months. Since the question asks for the number of years, we can round this down to 18 years.

Final Answer: 18 years",<num_years>
